array_task_id,job_id,job_id_raw,state,exit_code,elapsed,total_cpu,alloc_cpus,max_rss,req_mem,node_list
1,23476164_1,23476183,COMPLETED,0:0,03:20:43,07:31:47,30,93174540K,150G,r4u26n1
2,23476164_2,23476184,COMPLETED,0:0,02:37:47,07:10:31,30,92852528K,150G,r4u26n1
3,23476164_3,23476185,COMPLETED,0:0,03:40:12,08:12:36,30,102582.50M,150G,r3u31n1
4,23476164_4,23477613,COMPLETED,0:0,03:37:34,08:41:36,30,93128528K,150G,r4u13n1
5,23476164_5,23477614,COMPLETED,0:0,03:14:21,07:38:23,30,91868656K,150G,r4u13n1
6,23476164_6,23477731,COMPLETED,0:0,03:28:34,08:18:03,30,104572520K,150G,r3u07n1
7,23476164_7,23477747,COMPLETED,0:0,03:33:45,07:56:59,30,105966376K,150G,r3u29n1
8,23476164_8,23477802,COMPLETED,0:0,03:12:22,08:10:03,30,81714888K,150G,r3u29n1
9,23476164_9,23477803,COMPLETED,0:0,04:00:09,09:07:32,30,80080108K,150G,r3u31n1
10,23476164_10,23477852,COMPLETED,0:0,03:51:21,09:53:34,30,105748220K,150G,r7u12n1
11,23476164_11,23477918,COMPLETED,0:0,04:30:38,09:57:38,30,79060100K,150G,r4u26n1
12,23476164_12,23478211,COMPLETED,0:0,03:51:55,09:04:13,30,104509876K,150G,r4u35n2
13,23476164_13,23478276,COMPLETED,0:0,03:21:15,08:14:02,30,80126108K,150G,r4u26n1
14,23476164_14,23478450,COMPLETED,0:0,03:06:51,08:41:32,30,80123852K,150G,r4u13n1
15,23476164_15,23478547,COMPLETED,0:0,03:15:51,07:19:54,30,80071516K,150G,r4u13n1
16,23476164_16,23478620,COMPLETED,0:0,03:10:15,08:03:30,30,80123804K,150G,r3u07n1
17,23476164_17,23478634,COMPLETED,0:0,03:07:20,07:42:20,30,78719924K,150G,r3u29n1
18,23476164_18,23478649,COMPLETED,0:0,03:19:59,08:47:42,30,80082020K,150G,r3u29n1
19,23476164_19,23478784,COMPLETED,0:0,03:27:40,08:28:40,30,79381996K,150G,r3u31n1
20,23476164_20,23478802,COMPLETED,0:0,03:12:28,08:00:16,30,79517116K,150G,r7u12n1
21,23476164_21,23479006,COMPLETED,0:0,03:37:06,08:20:08,30,104572940K,150G,r4u12n1
22,23476164_22,23479023,COMPLETED,0:0,03:35:17,08:39:16,30,104903960K,150G,r4u05n2
23,23476164_23,23479054,COMPLETED,0:0,03:07:34,07:58:28,30,104763844K,150G,r4u31n2
24,23476164_24,23479139,COMPLETED,0:0,03:41:33,08:46:32,30,80134676K,150G,r4u13n1
25,23476164_25,23479282,COMPLETED,0:0,02:50:02,08:09:11,30,80129460K,150G,r4u13n1
26,23476164_26,23479364,COMPLETED,0:0,03:31:15,09:16:54,30,79380624K,150G,r4u35n2
27,23476164_27,23479365,COMPLETED,0:0,03:57:08,09:27:38,30,105761252K,150G,r3u04n2
28,23476164_28,23479462,COMPLETED,0:0,03:36:59,08:35:41,30,105976960K,150G,r7u13n1
29,23476164_29,23479585,COMPLETED,0:0,03:25:16,08:31:00,30,79190812K,150G,r7u12n1
30,23476164_30,23479616,COMPLETED,0:0,03:16:43,08:11:53,30,104914264K,150G,r7u09n1
31,23476164_31,23479798,COMPLETED,0:0,02:56:19,08:05:12,30,78729500K,150G,r4u31n2
32,23476164_32,23479870,COMPLETED,0:0,03:20:22,08:13:42,30,79434564K,150G,r4u12n1
33,23476164_33,23479890,COMPLETED,0:0,03:05:36,08:00:58,30,78719148K,150G,r4u05n2
34,23476164_34,23479956,COMPLETED,0:0,03:01:59,07:47:14,30,79433164K,150G,r4u13n1
35,23476164_35,23480002,COMPLETED,0:0,02:51:32,07:38:07,30,78719660K,150G,r4u13n1
36,23476164_36,23480138,COMPLETED,0:0,03:21:09,07:41:00,30,79380320K,150G,r4u35n2
37,23476164_37,23480226,COMPLETED,0:0,03:03:24,07:46:24,30,80068636K,150G,r7u13n1
38,23476164_38,23480227,COMPLETED,0:0,03:52:24,09:01:31,30,104575968K,150G,r7u16n2
39,23476164_39,23480334,COMPLETED,0:0,03:51:19,09:55:46,30,79044256K,150G,r7u09n1
40,23476164_40,23480335,COMPLETED,0:0,04:37:43,10:35:21,30,79114336K,150G,r7u12n1
41,23476164_41,23480452,COMPLETED,0:0,03:07:00,07:23:10,30,78719300K,150G,r4u31n2
42,23476164_42,23480554,COMPLETED,0:0,03:34:47,08:51:50,30,79377508K,150G,r4u05n2
43,23476164_43,23480588,COMPLETED,0:0,03:08:24,08:22:09,30,104914364K,150G,r7u14n2
44,23476164_44,23480604,COMPLETED,0:0,03:07:16,07:45:14,30,80082336K,150G,r4u13n1
45,23476164_45,23480625,COMPLETED,0:0,03:48:34,08:53:16,30,78873728K,150G,r4u13n1
46,23476164_46,23481047,COMPLETED,0:0,03:33:30,09:30:00,30,78721504K,150G,r4u35n2
47,23476164_47,23481135,COMPLETED,0:0,04:23:51,09:30:58,30,80079820K,150G,r7u13n1
48,23476164_48,23481399,COMPLETED,0:0,03:39:30,10:01:48,30,80123948K,150G,r7u16n2
49,23476164_49,23481432,COMPLETED,0:0,03:14:33,07:45:47,30,79368644K,150G,r7u14n2
50,23476164_50,23481474,COMPLETED,0:0,04:04:11,09:16:06,30,80792880K,150G,r7u09n1
51,23476164_51,23481573,COMPLETED,0:0,03:26:04,08:13:55,30,79061660K,150G,r7u14n2
52,23476164_52,23481593,COMPLETED,0:0,03:09:10,07:57:19,30,78719624K,150G,r4u13n1
53,23476164_53,23481618,COMPLETED,0:0,02:33:19,07:48:59,30,78802992K,150G,r4u05n2
54,23476164_54,23481639,COMPLETED,0:0,04:19:10,10:26:36,30,78719384K,150G,r7u12n1
55,23476164_55,23481843,COMPLETED,0:0,03:37:10,10:27:26,30,78723756K,150G,r4u13n1
56,23476164_56,23482109,COMPLETED,0:0,04:22:52,09:03:56,30,78719460K,150G,r4u35n2
57,23476164_57,23482303,COMPLETED,0:0,03:23:05,08:23:20,30,80081428K,150G,r7u14n2
58,23476164_58,23482348,COMPLETED,0:0,03:36:14,08:51:19,30,79059848K,150G,r7u13n1
59,23476164_59,23482349,COMPLETED,0:0,03:25:02,08:23:23,30,78719520K,150G,r7u16n2
60,23476164_60,23482350,COMPLETED,0:0,03:10:19,07:59:45,30,78719484K,150G,r4u05n2
61,23476164_61,23482427,COMPLETED,0:0,03:09:23,07:22:35,30,102764.50M,150G,r7u07n2
