site,variant,r2,rmse,bias,mae,pearson_r,kge
ABBY,drop32,-0.5950366308452966,0.27092479312828655,-0.0489151030807396,0.2464852191788523,0.8820878724462106,0.7366233657471439
ABBY,drop21_corr080,-0.40391080555752623,0.26964701326047996,-0.1670683837439661,0.24724877093046005,0.8824481127591663,0.7430068896043934
JERC,drop32,0.7753847747619408,0.32413603673709174,-0.09288517153836955,0.2673412844243248,0.9468974298383344,0.8305752315770191
JERC,drop21_corr080,0.785143819060772,0.33045849727813636,-0.11247077582032965,0.26870752562756595,0.9468945269586397,0.8330288693178205
OSBS,drop32,0.5789818393722125,0.3033666635836818,-0.00037763658912931975,0.27186970906622854,0.9532086529975151,0.8535766362389536
OSBS,drop21_corr080,0.5986788956324505,0.30255349852415125,0.04465464587771717,0.2675062999580926,0.9539986082982503,0.8518712327780714
SOAP,drop32,0.7117373733228287,0.3025144015129144,0.13467083417023662,0.25315589997972865,0.9247548905868386,0.8361593988767712
SOAP,drop21_corr080,0.7475509380336394,0.2718699036580714,0.04508437588759363,0.2204666497042812,0.9251372482547915,0.838961811826388
RMNP,drop32,0.4792792593491052,0.2571823384584106,0.06480509364713483,0.22568100223488463,0.9281005419264241,0.6006073147372359
RMNP,drop21_corr080,0.39866522608235805,0.2652555238271421,0.1716785969367386,0.23328097396878467,0.927208812540162,0.5763765461738395
TALL,drop32,0.5600240571159857,0.3175253483866711,0.07671318431581739,0.2868328683895053,0.9500364107465225,0.8404019411051973
TALL,drop21_corr080,0.6512455778489976,0.268687320669542,-0.062072988521990086,0.23802615655778767,0.9506801484339675,0.8534054778007225
TEAK,drop32,0.7018997760181884,0.22653598302148498,0.033508320674663306,0.18002548915740235,0.9064356024934461,0.8206345016996563
TEAK,drop21_corr080,0.6564558385905448,0.23901761060293097,0.08738661364685082,0.19060558022923413,0.9064155992818592,0.8161635004026784
WREF,drop32,-1.287637175186618,0.3732221960451666,0.21380155728183342,0.3536743621905877,0.8765731693984338,0.6617777210411726
WREF,drop21_corr080,-2.7311405243238216,0.47208841396695855,0.4423279744929546,0.4539769184634041,0.8719071222912758,0.576039416514013
YELL,drop32,0.7322265600039745,0.25524739856907985,-0.128565793571601,0.20148326202849828,0.9272164116547056,0.7607290603178738
YELL,drop21_corr080,0.7318915148221197,0.2561971556063796,-0.13748085599702298,0.20501969933602543,0.927700383043611,0.7512868215750461
