site,arm,r2,rmse,bias,mae,pearson_r,kge
ABBY,offline_mean_spinup,-10.172504771534875,0.7518821990281305,0.3225766120419917,0.744005303419862,0.8465539640050391,0.38194256117071246
ABBY,offline,0.7744842449670025,0.1084009806324264,0.009725644704182416,0.0862727476558867,0.88890588748247,0.8540696413547739
ABBY,drop32,-0.5950366308452966,0.27092479312828655,-0.0489151030807396,0.2464852191788523,0.8820878724462106,0.7366233657471439
ABBY,drop21_corr080,-0.40391080555752623,0.26964701326047996,-0.1670683837439661,0.24724877093046005,0.8824481127591663,0.7430068896043934
JERC,offline_mean_spinup,-0.2789679536828159,0.7676880805681645,0.4392481026037866,0.7298300262701418,0.9432564585174831,0.688303336264279
JERC,offline,0.8861337589412319,0.2333194272661591,-0.023826328518138415,0.1785137206000317,0.9471926555106408,0.8595300540002113
JERC,drop32,0.7753847747619408,0.32413603673709174,-0.09288517153836955,0.2673412844243248,0.9468974298383344,0.8305752315770191
JERC,drop21_corr080,0.785143819060772,0.33045849727813636,-0.11247077582032965,0.26870752562756595,0.9468945269586397,0.8330288693178205
OSBS,offline_mean_spinup,-2.6931508960550232,0.9033002637995783,0.3635095184876743,0.8887572596824194,0.9519318556279126,0.569644851648782
OSBS,offline,0.9015040594984537,0.14172589457505036,-0.0135696255236854,0.11132804784782088,0.9545180970894172,0.9444989384256052
OSBS,drop32,0.5789818393722125,0.3033666635836818,-0.00037763658912931975,0.27186970906622854,0.9532086529975151,0.8535766362389536
OSBS,drop21_corr080,0.5986788956324505,0.30255349852415125,0.04465464587771717,0.2675062999580926,0.9539986082982503,0.8518712327780714
SOAP,offline_mean_spinup,-0.819837850181312,0.7445648219147786,0.508713049454281,0.716582260972396,0.9213055866315347,0.6334125209827088
SOAP,offline,0.8503316591783799,0.21754160079751966,0.005720178180226492,0.1664343363262714,0.9243587237961609,0.8624177330437184
SOAP,drop32,0.7117373733228287,0.3025144015129144,0.13467083417023662,0.25315589997972865,0.9247548905868386,0.8361593988767712
SOAP,drop21_corr080,0.7475509380336394,0.2718699036580714,0.04508437588759363,0.2204666497042812,0.9251372482547915,0.838961811826388
RMNP,offline_mean_spinup,-1.6703410153250786,0.5620738410360779,0.28433131100136144,0.5419141136801477,0.9246398546569994,0.05444751501857659
RMNP,offline,0.8463973536463629,0.1358324993542701,-0.02842966340375499,0.10412739558711157,0.9284694640466336,0.8949836724794545
RMNP,drop32,0.4792792593491052,0.2571823384584106,0.06480509364713483,0.22568100223488463,0.9281005419264241,0.6006073147372359
RMNP,drop21_corr080,0.39866522608235805,0.2652555238271421,0.1716785969367386,0.23328097396878467,0.927208812540162,0.5763765461738395
TALL,offline_mean_spinup,-3.5789657480466093,0.9654300009406109,0.698990188075471,0.9503472286584279,0.9446685583663059,0.43833795179126855
TALL,offline,0.8976630545148445,0.14566437837102528,0.0034258291569462754,0.11429780675387399,0.9509468962823641,0.9344187828003662
TALL,drop32,0.5600240571159857,0.3175253483866711,0.07671318431581739,0.2868328683895053,0.9500364107465225,0.8404019411051973
TALL,drop21_corr080,0.6512455778489976,0.268687320669542,-0.062072988521990086,0.23802615655778767,0.9506801484339675,0.8534054778007225
TEAK,offline_mean_spinup,-1.8941190391256006,0.6886022645915002,0.2875255125754248,0.665288502694505,0.9005606655011397,0.5071983807125797
TEAK,offline,0.8166111200292658,0.17622331370711752,0.008905347678246703,0.13663572907428095,0.907302743260848,0.8503432295903439
TEAK,drop32,0.7018997760181884,0.22653598302148498,0.033508320674663306,0.18002548915740235,0.9064356024934461,0.8206345016996563
TEAK,drop21_corr080,0.6564558385905448,0.23901761060293097,0.08738661364685082,0.19060558022923413,0.9064155992818592,0.8161635004026784
WREF,offline_mean_spinup,-6.865471352493411,0.7631464661205637,0.47293757332408487,0.748119000217849,0.8508843185430361,0.34775472967141985
WREF,offline,0.7679635467320368,0.12636639885968157,0.009170527434517177,0.09868540020220923,0.8851864646507989,0.8436354948807812
WREF,drop32,-1.287637175186618,0.3732221960451666,0.21380155728183342,0.3536743621905877,0.8765731693984338,0.6617777210411726
WREF,drop21_corr080,-2.7311405243238216,0.47208841396695855,0.4423279744929546,0.4539769184634041,0.8719071222912758,0.576039416514013
YELL,offline_mean_spinup,-0.15881857943191968,0.5352619736051105,0.16799214307019428,0.5034562035332578,0.924573389541572,0.36507625101114255
YELL,offline,0.8553849402688138,0.18741567771807224,-0.013295736749743055,0.14260999093508608,0.9279458315305932,0.8905415340791218
YELL,drop32,0.7322265600039745,0.25524739856907985,-0.128565793571601,0.20148326202849828,0.9272164116547056,0.7607290603178738
YELL,drop21_corr080,0.7318915148221197,0.2561971556063796,-0.13748085599702298,0.20501969933602543,0.927700383043611,0.7512868215750461
