parameter,map,mean,std,p2.5,p50,p97.5,prior_min,prior_max
k_l1,0.5235948344692827,1.2296261273386258,0.8087974819801333,0.3768014721021302,0.8545110457854348,2.867334949869476,0.2,3.6
k_l2,0.04165532454079629,0.06995266468069815,0.043168638558010265,0.011530867815591924,0.06293648313957925,0.13252084819988377,0.01,0.15
k_l3,0.024435121289809823,0.021810293900701497,0.0038855234634346254,0.012275174745524375,0.021707073855838373,0.027067271437626474,0.003,0.03
k_s1,0.012377632158760747,0.055607819951712247,0.03069225588631903,0.010695231488568335,0.05605787449258908,0.1578762819521971,0.01,0.2
k_s2,0.02254238230448004,0.01573863430067828,0.008115245370995188,0.003969536242629362,0.0206801029265822,0.024269162949857804,0.003,0.03
k_s3,0.0013009644713892462,0.0012954169967510482,0.0007567348593220336,0.00039723538737775494,0.001122684898715143,0.0025408142364912057,0.0003,0.003
k_s4,0.00010126955169521895,8.921317620906575e-05,1.740693615335845e-05,5.087007073015508e-05,9.233765642240613e-05,0.00011882296560584698,2e-05,0.0002
k_frag,0.0016685995551631969,0.0012140942018330923,0.00034986007034105407,0.000519317342906693,0.0012089080883376211,0.001684405878243683,0.0002,0.002
rf_l1s1,0.5928961380675755,0.5171783926702276,0.11195338204290634,0.29012855096458123,0.5329752730893893,0.6909557929552625,0.1,0.9
rf_l2s2,0.11918331492672096,0.40545057919072003,0.27341831433975233,0.1265795273700212,0.2566284039847895,0.8758427942362239,0.1,0.9
rf_l3s3,0.5801209589750779,0.4419798243553858,0.2840185502447436,0.10319317055879393,0.43399695687328765,0.8249572980070732,0.1,0.9
rf_s1s2,0.754843129485528,0.6578490610259751,0.153645616313745,0.35671420278585286,0.6268881763780707,0.8972656443012826,0.1,0.9
rf_s2s3,0.8439180874867999,0.5845700824961696,0.3082038262799145,0.1138476609505273,0.732569271435027,0.8897515630692857,0.1,0.9
rf_s3s4,0.18967688025368268,0.4000014190107664,0.32668870397607486,0.10340668183262303,0.18581268978310275,0.8962415201186188,0.1,0.9
sigma_SR,3.656412456879128,3.562286496151276,0.08728255130463648,3.362968657191447,3.5828928516325407,3.6691117296196443,0.0,3.678561543741014
