parameter,map,mean,std,p2.5,p50,p97.5,prior_min,prior_max
k_l1,0.20123392369675575,0.781254276115265,0.8514351331537241,0.20124790658151073,0.21725374428251276,2.221194804756978,0.2,3.6
k_l2,0.12339988985602933,0.1223365202321574,0.010759234872291698,0.09432393687963461,0.12336691756273331,0.13513053728485175,0.01,0.15
k_l3,0.02990327867877377,0.026635490051583027,0.004024209615291101,0.019896377506047294,0.029030124679741157,0.029940684975732667,0.003,0.03
k_s1,0.10676136536841281,0.12071760616570466,0.03686076069475499,0.07856267173486507,0.10472779324373169,0.1873109432083378,0.01,0.2
k_s2,0.026533127817516166,0.023872303722484136,0.003466460551713414,0.01714533868575022,0.025956560166316367,0.026862430665048023,0.003,0.03
k_s3,0.000965050149884324,0.0010248522979064048,0.0003870838792631781,0.0006182674583721324,0.0009991075133182373,0.0022332845298668903,0.0003,0.003
k_s4,7.610161938817787e-05,7.719750772392968e-05,6.143055588634485e-06,6.814068934504084e-05,7.781006592590112e-05,9.288039950681285e-05,2e-05,0.0002
k_frag,0.0018041079366640923,0.0013609670317140344,0.000649633446043855,0.0002521472029936893,0.0017770014374145111,0.0018324646949093226,0.0002,0.002
rf_l1s1,0.39792179639898223,0.45817702187882586,0.13820941016410318,0.36194522352851694,0.38748204442134454,0.7155541833974401,0.1,0.9
rf_l2s2,0.10101331655098422,0.31570910460546736,0.31940407287975087,0.10008066355916839,0.1023922989667976,0.8998073659845461,0.1,0.9
rf_l3s3,0.22767507969879802,0.32648078580896117,0.22044498628258877,0.16291338185451013,0.21842983406951844,0.7310992828773586,0.1,0.9
rf_s1s2,0.1016975957771579,0.17543795500664314,0.20982847237785657,0.10010627935945487,0.10746390122838637,0.8966054898373783,0.1,0.9
rf_s2s3,0.8938522990684574,0.6480427114960398,0.36275466576963694,0.10002845049060238,0.8901651777239048,0.8990649249251399,0.1,0.9
rf_s3s4,0.10010253774392008,0.14318319522989376,0.14190180467760138,0.10007577672363543,0.10150823759487627,0.6349595046089118,0.1,0.9
sigma_SR,3.672787802585757,3.6635869017081064,0.028887071265239955,3.5652586018819514,3.6741776105574555,3.6783807307117167,0.0,3.678561543741014
