walker,acceptance_fraction
0,0.06425
1,0.23525
2,0.23025
3,0.24625
4,0.23275
5,0.2325
6,0.25225
7,0.07575
8,0.0695
9,0.22425
10,0.07775
11,0.23825
12,0.025
13,0.2205
14,0.07225
15,0.2365
16,0.21325
17,0.2385
18,0.241
19,0.08675
20,0.23
21,0.22575
22,0.23575
23,0.246
24,0.03225
25,0.21675
26,0.082
27,0.07975
28,0.2395
29,0.21125
30,0.239
31,0.232
32,0.22375
33,0.24775
34,0.027
35,0.2185
36,0.0825
37,0.08225
38,0.217
39,0.2065
40,0.234
41,0.0835
42,0.21275
43,0.214
44,0.22675
45,0.244
46,0.2185
47,0.228
48,0.23575
49,0.24025
50,0.08
51,0.02625
52,0.076
53,0.07325
54,0.23425
55,0.07825
56,0.2335
57,0.23625
58,0.23475
59,0.2265
60,0.2195
61,0.2225
62,0.03225
63,0.22325
