parameter,autocorr_time,steps_per_tau,ess_approx,first_half_mean,second_half_mean,stationarity_delta
k_l1,346.5586432035759,11.542058114679065,1.2927105088440551,2.0358150232081855,2.0382569370814396,0.002441913873254098
k_l2,291.6513631872383,13.715005327892213,1.5360805967239277,0.04080397434343793,0.04065930826564147,-0.0001446660777964584
k_l3,466.3371234138623,8.577485683999688,0.9606783966079652,0.009299174090073857,0.008979358184637453,-0.000319815905436404
k_s1,274.4374894955279,14.57526815069186,1.6324300328774883,0.10937998056259207,0.11020240064546047,0.000822420082868397
k_s2,285.04417469225706,14.032912632992868,1.571686214895201,0.0168137842197665,0.016618803059895958,-0.00019498115987054074
k_s3,400.53279833920436,9.986697760048276,1.1185101491254068,0.0017857659194263065,0.0018043939065738237,1.8627987147517167e-05
k_s4,300.7407137679908,13.300493803728338,1.489655306017574,0.00015785690801129877,0.00015828878238708012,4.3187437578134295e-07
k_frag,406.9902091470582,9.82824625777343,1.1007635808706242,0.0008655356429147793,0.000838170042152955,-2.73656007618243e-05
rf_l1s1,453.46108597553257,8.8210435773001,0.9879568806576112,0.30312197655280754,0.2958951042042154,-0.0072268723485921504
rf_l2s2,357.63235291150113,11.184670423231621,1.2526830874019417,0.44984959853288303,0.45510139209485917,0.005251793561976137
rf_l3s3,419.4717205890453,9.535803735190967,1.0680100183413883,0.5041228532938051,0.4997898166866026,-0.004333036607202523
rf_s1s2,482.6513952341954,8.287555033502167,0.9282061637522427,0.4870003186558776,0.4742130921339546,-0.012787226521923045
rf_s2s3,322.01374029109945,12.42183018769327,1.3912449810216463,0.40719546325501615,0.406653508695121,-0.0005419545598951414
rf_s3s4,306.09823403587455,13.067700349853054,1.4635824391835421,0.6563325410908609,0.6474357259672701,-0.008896815123590862
sigma_SR,193.72200879627263,20.648144342786534,2.3125921663920916,0.6783323620421534,0.678203081647475,-0.00012928039467841046
