parameter,map,mean,std,p2.5,p50,p97.5,prior_min,prior_max
k_l1,2.359980021214366,2.0372104025643307,0.6159246891850308,0.6253104618294342,2.3593004189199602,2.819974883423364,0.2,3.6
k_l2,0.010031075030985468,0.040721308013268516,0.03597413697127541,0.010007772001044368,0.010348290299235991,0.10505888519645978,0.01,0.15
k_l3,0.009175950865406209,0.009116422144110197,0.004391856600448353,0.003021094089157602,0.00877844725157324,0.017720782097304325,0.003,0.03
k_s1,0.08959157721099299,0.10984993489565972,0.04275230133367327,0.013377631924975649,0.09176152528588627,0.1851067156140752,0.01,0.2
k_s2,0.020377614467842156,0.01670236641412619,0.0050930791055975875,0.0076546500893942436,0.01959262257936867,0.02095983936829435,0.003,0.03
k_s3,0.0012998663112929038,0.001796410483510602,0.0007484440087594294,0.0008714017058733931,0.001332719275868422,0.0029982754968029207,0.0003,0.003
k_s4,0.0001997385643415373,0.00015810369336888812,6.886579720280037e-05,2.0592253970021542e-05,0.00019725534949805305,0.0001998901500977546,2e-05,0.0002
k_frag,0.0007322281640688647,0.0008498981567651654,0.00019363519509246624,0.0005250778024540138,0.0007858374076290646,0.0012544496478243813,0.0002,0.002
rf_l1s1,0.2613027720075186,0.2989923352107549,0.10489536445162925,0.22583131891689429,0.2658044139396937,0.6443915809845054,0.1,0.9
rf_l2s2,0.3852133489752787,0.45285062342544086,0.10004197884738833,0.35112929544716714,0.4007077055017496,0.6717625105325277,0.1,0.9
rf_l3s3,0.39852310862103174,0.5016468323754036,0.15551514827525412,0.37665134942232886,0.40715597274791765,0.8383127380413758,0.1,0.9
rf_s1s2,0.3070305917846393,0.4796933320719216,0.22669485137389075,0.276866983235156,0.3246960535753743,0.8977569143356514,0.1,0.9
rf_s2s3,0.360835000034151,0.40688577493507605,0.13264538708225743,0.243196101623796,0.36455117659297565,0.738171593590863,0.1,0.9
rf_s3s4,0.6632838704618518,0.6512486467345232,0.0825863542914329,0.4338379674312961,0.665007808526145,0.7568422285346426,0.1,0.9
sigma_SR,0.6677896715426493,0.6782584875309087,0.02638207160069283,0.6637396945014631,0.6702822396584793,0.7027047787489823,0.0,1.2585830572660597
