walker,acceptance_fraction
0,0.02025
1,0.151
2,0.01675
3,0.16575
4,0.1595
5,0.06175
6,0.0435
7,0.0675
8,0.16325
9,0.062
10,0.03025
11,0.0565
12,0.16875
13,0.03925
14,0.0675
15,0.1435
16,0.163
17,0.172
18,0.16475
19,0.154
20,0.02125
21,0.16325
22,0.02925
23,0.03275
24,0.16475
25,0.16575
26,0.17075
27,0.1635
28,0.0155
29,0.03875
30,0.1505
31,0.0395
32,0.02025
33,0.01825
34,0.16125
35,0.16875
36,0.1535
37,0.0285
38,0.17375
39,0.15425
40,0.0155
41,0.041
42,0.03875
43,0.15625
44,0.0195
45,0.167
46,0.036
47,0.1655
48,0.04175
49,0.1625
50,0.038
51,0.177
52,0.00675
53,0.18
54,0.02925
55,0.16525
56,0.155
57,0.0615
58,0.15225
59,0.04125
60,0.16725
61,0.17625
62,0.042
63,0.16575
