arm,site,geometry_qualified,max_split_rhat,max_cross_seed_width_fraction
B,ABBY,False,2.664678754037275,0.7772472776096835
B,JERC,False,4.584940180830223,0.4216163272627583
T,ABBY,False,3.711787268380069,0.5030257682391206
T,JERC,False,5.453302176148119,0.3787625223140559
I,ABBY,False,1.7434900707316112,0.021251513809337392
I,JERC,False,1.1706567136187795,0.008409539610129168
M,ABBY,False,1.48016830056829,0.44118102449644725
M,JERC,False,1.3789843906277084,0.4775432869438904
TIM,ABBY,False,1.0317047522276492,0.0007133336315814273
TIM,JERC,False,1.0213746108256136,0.0026026790476538788
