site,left,right,improves,worsens,dominates
ABBY,hourly_0.50,hourly_0.75,min_steps_per_tau,max_cross_seed_width_fraction,False
ABBY,hourly_0.50,hourly_1.00,mean_acceptance,,True
ABBY,hourly_0.50,daily_0.50,,saturation;max_cross_seed_width_fraction,False
ABBY,hourly_0.50,daily_0.75,mean_acceptance,saturation,False
ABBY,hourly_0.50,daily_1.00,mean_acceptance,saturation,False
ABBY,hourly_0.75,hourly_0.50,max_cross_seed_width_fraction,,True
ABBY,hourly_0.75,hourly_1.00,mean_acceptance;max_cross_seed_width_fraction,min_steps_per_tau,False
ABBY,hourly_0.75,daily_0.50,,saturation,False
ABBY,hourly_0.75,daily_0.75,mean_acceptance;max_cross_seed_width_fraction,saturation,False
ABBY,hourly_0.75,daily_1.00,mean_acceptance;max_cross_seed_width_fraction,saturation,False
ABBY,hourly_1.00,hourly_0.50,,mean_acceptance,False
ABBY,hourly_1.00,hourly_0.75,min_steps_per_tau,mean_acceptance;max_cross_seed_width_fraction,False
ABBY,hourly_1.00,daily_0.50,,mean_acceptance;saturation;max_cross_seed_width_fraction,False
ABBY,hourly_1.00,daily_0.75,,saturation,False
ABBY,hourly_1.00,daily_1.00,mean_acceptance,saturation,False
ABBY,daily_0.50,hourly_0.50,saturation;max_cross_seed_width_fraction,,True
ABBY,daily_0.50,hourly_0.75,saturation;min_steps_per_tau,,True
ABBY,daily_0.50,hourly_1.00,mean_acceptance;saturation;max_cross_seed_width_fraction,,True
ABBY,daily_0.50,daily_0.75,mean_acceptance;max_cross_seed_width_fraction,,True
ABBY,daily_0.50,daily_1.00,mean_acceptance;max_cross_seed_width_fraction,,True
ABBY,daily_0.75,hourly_0.50,saturation,mean_acceptance,False
ABBY,daily_0.75,hourly_0.75,saturation,mean_acceptance;max_cross_seed_width_fraction,False
ABBY,daily_0.75,hourly_1.00,saturation,,True
ABBY,daily_0.75,daily_0.50,,mean_acceptance;max_cross_seed_width_fraction,False
ABBY,daily_0.75,daily_1.00,mean_acceptance,,True
ABBY,daily_1.00,hourly_0.50,saturation,mean_acceptance,False
ABBY,daily_1.00,hourly_0.75,saturation,mean_acceptance;max_cross_seed_width_fraction,False
ABBY,daily_1.00,hourly_1.00,saturation,mean_acceptance,False
ABBY,daily_1.00,daily_0.50,,mean_acceptance;max_cross_seed_width_fraction,False
ABBY,daily_1.00,daily_0.75,,mean_acceptance,False
