site,left,right,improves,worsens,dominates
JERC,hourly_0.50,hourly_0.75,,,False
JERC,hourly_0.50,hourly_1.00,,,False
JERC,hourly_0.50,daily_0.50,mean_acceptance,,True
JERC,hourly_0.50,daily_0.75,mean_acceptance,,True
JERC,hourly_0.50,daily_1.00,mean_acceptance,,True
JERC,hourly_0.75,hourly_0.50,,,False
JERC,hourly_0.75,hourly_1.00,,,False
JERC,hourly_0.75,daily_0.50,mean_acceptance,,True
JERC,hourly_0.75,daily_0.75,mean_acceptance,,True
JERC,hourly_0.75,daily_1.00,mean_acceptance,,True
JERC,hourly_1.00,hourly_0.50,,,False
JERC,hourly_1.00,hourly_0.75,,,False
JERC,hourly_1.00,daily_0.50,mean_acceptance,,True
JERC,hourly_1.00,daily_0.75,mean_acceptance,,True
JERC,hourly_1.00,daily_1.00,mean_acceptance,,True
JERC,daily_0.50,hourly_0.50,,mean_acceptance,False
JERC,daily_0.50,hourly_0.75,,mean_acceptance,False
JERC,daily_0.50,hourly_1.00,,mean_acceptance,False
JERC,daily_0.50,daily_0.75,,,False
JERC,daily_0.50,daily_1.00,,,False
JERC,daily_0.75,hourly_0.50,,mean_acceptance,False
JERC,daily_0.75,hourly_0.75,,mean_acceptance,False
JERC,daily_0.75,hourly_1.00,,mean_acceptance,False
JERC,daily_0.75,daily_0.50,,,False
JERC,daily_0.75,daily_1.00,,,False
JERC,daily_1.00,hourly_0.50,,mean_acceptance,False
JERC,daily_1.00,hourly_0.75,,mean_acceptance,False
JERC,daily_1.00,hourly_1.00,,mean_acceptance,False
JERC,daily_1.00,daily_0.50,,,False
JERC,daily_1.00,daily_0.75,,,False
