site,seed,resolution,de_scale,leaf,mean_acceptance,saturation,min_steps_per_tau,max_tau_change,abs_resid_lag24,sigma_upper_edge,raw_chain_sha256,map_rmse,map_bias,map_r2,elm_rmse,elm_bias,elm_r2,pool_target_sha256,campaign_target_sha256,max_cross_seed_width_fraction
ABBY,9009,hourly,0.50,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/hourly_0.50/seed_9009,0.32780859375000004,0.422708984375,10.298638983834575,0.17540012330478386,0.9726597547545779,0.007211538461538462,3caa45083520215169fa92f1693c4d20bacb319f69963429d8a9da6d6a9d4d01,4.721356513895681,-4.0145917752734315,-2.2285093849349735,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,78a9029b5ca8696b19f7827557ca9bd8850db420bb3d3ebb78805c4cd1a5f7d3,0.34436278769160766
ABBY,9010,hourly,0.50,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/hourly_0.50/seed_9010,0.34594140625,0.495302734375,14.14020533311078,0.09662240928951171,0.97265371760259,0.0068359375,aa7241175bc9525514723e009cd86b2224d46b92870d45f674a8f31a9551c269,4.721172503852906,-4.014479037008577,-2.228257734134414,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,78a9029b5ca8696b19f7827557ca9bd8850db420bb3d3ebb78805c4cd1a5f7d3,0.34436278769160766
ABBY,9011,hourly,0.50,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/hourly_0.50/seed_9011,0.32589453125,0.437703125,9.698575336532762,0.2797647835058769,0.9721995219198829,0.0078125,62d2ca09b1247141811799595e1a7525b7eb026db4eb2bc5198b48ec8deb15b2,4.718405641791774,-4.022030343342452,-2.224474976151518,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,78a9029b5ca8696b19f7827557ca9bd8850db420bb3d3ebb78805c4cd1a5f7d3,0.34436278769160766
JERC,9009,hourly,0.50,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/hourly_0.50/seed_9009,0.12101562499999999,0.0,8.543172595374607,0.38409620189930294,0.9161900698839631,0.0,e44c60f67db62ea87749be0cd661504ed84123825b9f758ce0561bb5dde38921,0.6680389642170155,0.002643292210167092,0.3844266271128782,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,0.3452170567161038
JERC,9010,hourly,0.50,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/hourly_0.50/seed_9010,0.09940625,0.0,9.126501540194793,0.45227807337934356,0.9164051937887514,0.0,c1108666a9c95ba8563b3b5074da8d9e8bb7a2c46ec6e4501d6f41af84ca7e26,0.6673750569562141,-0.0011099948488002152,0.3856495514502235,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,0.3452170567161038
JERC,9011,hourly,0.50,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/hourly_0.50/seed_9011,0.102916015625,0.0,8.788918031542469,0.4465353793048789,0.9202541485189836,0.0,3e22f12e7b11cb40ab500c0c0c76f9522a064235788cb473fb70e6b375810b7f,0.6674356015971721,0.0006599790550809904,0.38553807795673223,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,0.3452170567161038
ABBY,9009,hourly,0.75,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/hourly_0.75/seed_9009,0.22541601562500002,0.479529296875,8.390880953963528,0.2957238188048341,0.972658091524843,0.006696428571428571,e13ebabfb9ccab20d063f6fc3d9e4c4c40bc2f84f9947f837a6fd0c552fef435,4.698565075488475,-3.983889487099531,-2.1974146051961796,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,78a9029b5ca8696b19f7827557ca9bd8850db420bb3d3ebb78805c4cd1a5f7d3,0.0005001432374187513
ABBY,9010,hourly,0.75,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/hourly_0.75/seed_9010,0.204025390625,0.495013671875,9.065327694880862,0.2523008100182964,0.9726721450006954,0.003472222222222222,e16090cf83f8be21434fc31f24c3bdd59f9d77ca1d57fa7cbf6981353824647a,4.698850545835262,-3.983962377677914,-2.197803147131838,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,78a9029b5ca8696b19f7827557ca9bd8850db420bb3d3ebb78805c4cd1a5f7d3,0.0005001432374187513
ABBY,9011,hourly,0.75,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/abby/hourly_0.75/seed_9011,0.235052734375,0.45625,9.559905434766028,0.21169972947257235,0.9726755319988873,0.0109375,2f5a746e7edbfecfc98c6cf35ff42429af188a6a039dbe201ce8666398b66607,4.6985848104116865,-3.9839619953019314,-2.197441464828094,6.689566197051163,-6.213237431624852,-5.481333566178679,bf9ade8b68bf7179cdb5c5712682dd1c343d510749efd7041cf0414ec4773bbd,78a9029b5ca8696b19f7827557ca9bd8850db420bb3d3ebb78805c4cd1a5f7d3,0.0005001432374187513
JERC,9009,hourly,0.75,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/hourly_0.75/seed_9009,0.08913867187499999,0.0,7.651506048606169,0.5476623655475157,0.9161685900463122,0.0,e28d1ab67dbae50ffcc4cc592798ccdb5f1d3d59a7e9cb30f18fa4e4ff7742a7,0.6665760070096859,0.0028074971258033234,0.3871197976393361,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,0.48540951546877786
JERC,9010,hourly,0.75,/xdisk/chopinsong/tianyihu/E3SM_out/SOIL_project/spinup_forcing_coupling/spinup_forcing_coupling_iter015/production/jerc/hourly_0.75/seed_9010,0.22109179687500002,0.00270703125,10.851592986329559,0.18513461826387925,0.9188028195047292,0.0,60a60ae4d9988b1e1c82dad0dfab7f48f93918158b29054cd590a861e9e560e1,0.6674447996939864,-0.002552212881225669,0.3855211417334349,1.5752056788220512,1.4270835584206039,-2.4225576760024197,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,26e5caa07f25bea9bfc76d21348440918869603937f2cae5335d3ca0dcfeb196,0.48540951546877786
