site,seed_left,seed_right,map_wasserstein_full,map_wasserstein_decomposition,map_rmse_delta
ABBY,9009,9010,0.01226387718919545,0.013127184628830309,0.0022619517644537623
ABBY,9009,9011,0.011826247094580062,0.012639908184213008,0.0028537040555773885
ABBY,9009,9012,0.004974705070658212,0.005329558070547962,2.720160310865083e-05
ABBY,9009,9013,0.007305105973522087,0.007784216899408222,0.0011009898877478719
ABBY,9009,9014,0.00628648147839889,0.0067340055939479415,0.003670937106059924
ABBY,9009,9015,0.010889157941351452,0.011662391163085414,0.0014186966651266175
ABBY,9009,9016,0.1363436456861395,0.14607861441381598,0.0031976892331719853
ABBY,9009,9017,0.00863691122835177,0.009244765042972197,0.0008133598131765396
ABBY,9010,9011,0.00858103244623421,0.009175576277721554,0.0005917522911236262
ABBY,9010,9012,0.011069260191857784,0.011846754769382687,0.0022347501613451115
ABBY,9010,9013,0.00980457257513473,0.0104749006178723,0.003362941652201634
ABBY,9010,9014,0.011367575160195076,0.012168371302095063,0.0014089853416061615
ABBY,9010,9015,0.008808643894468537,0.009420585181831762,0.00368064842958038
ABBY,9010,9016,0.1443997744020322,0.15469749710696476,0.0009357374687182229
ABBY,9010,9017,0.008058067048785008,0.00861189106241442,0.0014485919512772227
ABBY,9011,9012,0.007884449681776751,0.008416070736766479,0.0028265024524687377
ABBY,9011,9013,0.005696406911467789,0.006091681607187106,0.00395469394332526
ABBY,9011,9014,0.01093151436318471,0.011682776247768855,0.0008172330504825354
ABBY,9011,9015,0.00689048247641959,0.0073470251763927885,0.004272400720704006
ABBY,9011,9016,0.14474381934043154,0.15504772962629182,0.0003439851775945968
ABBY,9011,9017,0.004432740897494938,0.004709225985645674,0.002040344242400849
ABBY,9012,9013,0.004587889697856033,0.004872430670323042,0.0011281914908565227
ABBY,9012,9014,0.008875640562470925,0.009507621536010714,0.003643735502951273
ABBY,9012,9015,0.008247583685531796,0.008832616108435904,0.0014458982682352683
ABBY,9012,9016,0.13792597441915735,0.14777444970434953,0.0031704876300633344
ABBY,9012,9017,0.006140845133598958,0.0065708915894657355,0.0007861582100678888
ABBY,9013,9014,0.009502996555104072,0.010140609941154077,0.004771926993807796
ABBY,9013,9015,0.007020152592195475,0.007474345931052854,0.00031770677737874564
ABBY,9013,9016,0.14099192973011343,0.15101623638870834,0.004298679120919857
ABBY,9013,9017,0.005500921138861791,0.00584209330343892,0.0019143497009244115
ABBY,9014,9015,0.007804677472707139,0.008356080385201354,0.005089633771186541
ABBY,9014,9016,0.13855739679933346,0.14844898033075865,0.00047324787288793857
ABBY,9014,9017,0.009292601412354821,0.009945779964353169,0.0028575772928833842
ABBY,9015,9016,0.14326573178961588,0.1534982976789879,0.004616385898298603
ABBY,9015,9017,0.007421068792523178,0.00794664049294699,0.002232056478303157
ABBY,9016,9017,0.1410974209590043,0.15117060286143338,0.0023843294199954457
