variant	model	feature_policy	hidden_layer_sizes	activation	solver	alpha	learning_rate_init	apply_corr_filter	corr_threshold	feature_subset_policy
s08_tanh_adam_a10_lr1e3_full45	s08_tanh_adam_a10_lr1e3	full45	8	tanh	adam	10	1e-3	false	NA	strict
s08_tanh_adam_a10_lr1e3_corr080_prioritydrop	s08_tanh_adam_a10_lr1e3	corr080_prioritydrop	8	tanh	adam	10	1e-3	true	0.80	eligible_pool
s08_tanh_adam_a10_lr1e3_corr060_prioritydrop	s08_tanh_adam_a10_lr1e3	corr060_prioritydrop	8	tanh	adam	10	1e-3	true	0.60	eligible_pool
s32_tanh_lbfgs_a50_lr1e3_full45	s32_tanh_lbfgs_a50_lr1e3	full45	32	tanh	lbfgs	50	1e-3	false	NA	strict
s32_tanh_lbfgs_a50_lr1e3_corr080_prioritydrop	s32_tanh_lbfgs_a50_lr1e3	corr080_prioritydrop	32	tanh	lbfgs	50	1e-3	true	0.80	eligible_pool
s32_tanh_lbfgs_a50_lr1e3_corr060_prioritydrop	s32_tanh_lbfgs_a50_lr1e3	corr060_prioritydrop	32	tanh	lbfgs	50	1e-3	true	0.60	eligible_pool
s32_tanh_lbfgs_a100_lr1e3_full45	s32_tanh_lbfgs_a100_lr1e3	full45	32	tanh	lbfgs	100	1e-3	false	NA	strict
s32_tanh_lbfgs_a100_lr1e3_corr080_prioritydrop	s32_tanh_lbfgs_a100_lr1e3	corr080_prioritydrop	32	tanh	lbfgs	100	1e-3	true	0.80	eligible_pool
s32_tanh_lbfgs_a100_lr1e3_corr060_prioritydrop	s32_tanh_lbfgs_a100_lr1e3	corr060_prioritydrop	32	tanh	lbfgs	100	1e-3	true	0.60	eligible_pool
s32_tanh_lbfgs_a250_lr1e3_full45	s32_tanh_lbfgs_a250_lr1e3	full45	32	tanh	lbfgs	250	1e-3	false	NA	strict
s32_tanh_lbfgs_a250_lr1e3_corr080_prioritydrop	s32_tanh_lbfgs_a250_lr1e3	corr080_prioritydrop	32	tanh	lbfgs	250	1e-3	true	0.80	eligible_pool
s32_tanh_lbfgs_a250_lr1e3_corr060_prioritydrop	s32_tanh_lbfgs_a250_lr1e3	corr060_prioritydrop	32	tanh	lbfgs	250	1e-3	true	0.60	eligible_pool
s32_tanh_lbfgs_a500_lr1e3_full45	s32_tanh_lbfgs_a500_lr1e3	full45	32	tanh	lbfgs	500	1e-3	false	NA	strict
s32_tanh_lbfgs_a500_lr1e3_corr080_prioritydrop	s32_tanh_lbfgs_a500_lr1e3	corr080_prioritydrop	32	tanh	lbfgs	500	1e-3	true	0.80	eligible_pool
s32_tanh_lbfgs_a500_lr1e3_corr060_prioritydrop	s32_tanh_lbfgs_a500_lr1e3	corr060_prioritydrop	32	tanh	lbfgs	500	1e-3	true	0.60	eligible_pool
s32_tanh_lbfgs_a1000_lr1e3_full45	s32_tanh_lbfgs_a1000_lr1e3	full45	32	tanh	lbfgs	1000	1e-3	false	NA	strict
s32_tanh_lbfgs_a1000_lr1e3_corr080_prioritydrop	s32_tanh_lbfgs_a1000_lr1e3	corr080_prioritydrop	32	tanh	lbfgs	1000	1e-3	true	0.80	eligible_pool
s32_tanh_lbfgs_a1000_lr1e3_corr060_prioritydrop	s32_tanh_lbfgs_a1000_lr1e3	corr060_prioritydrop	32	tanh	lbfgs	1000	1e-3	true	0.60	eligible_pool
